anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,1,2,20 a 39 años,Femenino,475266
2010,1,2,20 a 39 años,Masculino,450682
2010,1,2,40 a 49 años,Femenino,185857
2010,1,2,40 a 49 años,Masculino,164611
2010,1,2,50 a 59 años,Femenino,181273
2010,1,2,50 a 59 años,Masculino,146892
2010,1,2,60 a 69 años,Femenino,159298
2010,1,2,60 a 69 años,Masculino,116896
2010,1,2,70 a 79 años,Femenino,121928
2010,1,2,70 a 79 años,Masculino,75226
2010,1,2,80+ años,Femenino,101710
2010,1,2,80+ años,Masculino,43137
2010,1,6,20 a 39 años,Femenino,2390882
2010,1,6,20 a 39 años,Masculino,2374948
2010,1,6,40 a 49 años,Femenino,927339
2010,1,6,40 a 49 años,Masculino,887183
2010,1,6,50 a 59 años,Femenino,811446
2010,1,6,50 a 59 años,Masculino,749592
2010,1,6,60 a 69 años,Femenino,635955
2010,1,6,60 a 69 años,Masculino,547287
2010,1,6,70 a 79 años,Femenino,436264
2010,1,6,70 a 79 años,Masculino,311545
2010,1,6,80+ años,Femenino,273339
2010,1,6,80+ años,Masculino,131209
2010,1,10,20 a 39 años,Femenino,56587
2010,1,10,20 a 39 años,Masculino,57061
2010,1,10,40 a 49 años,Femenino,19839
2010,1,10,40 a 49 años,Masculino,19917
2010,1,10,50 a 59 años,Femenino,16648
2010,1,10,50 a 59 años,Masculino,16734
2010,1,10,60 a 69 años,Femenino,11676
2010,1,10,60 a 69 años,Masculino,10994
2010,1,10,70 a 79 años,Femenino,7390
2010,1,10,70 a 79 años,Masculino,5693
2010,1,10,80+ años,Femenino,4389
2010,1,10,80+ años,Masculino,2409
2010,1,14,20 a 39 años,Femenino,514404
2010,1,14,20 a 39 años,Masculino,510757
2010,1,14,40 a 49 años,Femenino,194566
2010,1,14,40 a 49 años,Masculino,185136
2010,1,14,50 a 59 años,Femenino,173796
2010,1,14,50 a 59 años,Masculino,159777
2010,1,14,60 a 69 años,Femenino,142743
2010,1,14,60 a 69 años,Masculino,121542
2010,1,14,70 a 79 años,Femenino,97928
2010,1,14,70 a 79 años,Masculino,70161
2010,1,14,80+ años,Femenino,60672
2010,1,14,80+ años,Masculino,29155
2010,1,18,20 a 39 años,Femenino,152099
2010,1,18,20 a 39 años,Masculino,144838
2010,1,18,40 a 49 años,Femenino,55919
2010,1,18,40 a 49 años,Masculino,52960
2010,1,18,50 a 59 años,Femenino,46871
2010,1,18,50 a 59 años,Masculino,45808
2010,1,18,60 a 69 años,Femenino,32062
2010,1,18,60 a 69 años,Masculino,30149
2010,1,18,70 a 79 años,Femenino,20508
2010,1,18,70 a 79 años,Masculino,15473
2010,1,18,80+ años,Femenino,10929
2010,1,18,80+ años,Masculino,6201
2010,1,22,20 a 39 años,Femenino,162661
2010,1,22,20 a 39 años,Masculino,156182
2010,1,22,40 a 49 años,Femenino,57024
2010,1,22,40 a 49 años,Masculino,54585
2010,1,22,50 a 59 años,Femenino,46895
2010,1,22,50 a 59 años,Masculino,46393
2010,1,22,60 a 69 años,Femenino,30197
2010,1,22,60 a 69 años,Masculino,28363
2010,1,22,70 a 79 años,Femenino,19348
2010,1,22,70 a 79 años,Masculino,14901
2010,1,22,80+ años,Femenino,9522
2010,1,22,80+ años,Masculino,5387
2010,1,26,20 a 39 años,Femenino,82229
2010,1,26,20 a 39 años,Masculino,83877
2010,1,26,40 a 49 años,Femenino,29772
2010,1,26,40 a 49 años,Masculino,29672
2010,1,26,50 a 59 años,Femenino,23882
2010,1,26,50 a 59 años,Masculino,23664
2010,1,26,60 a 69 años,Femenino,15826
2010,1,26,60 a 69 años,Masculino,14818
2010,1,26,70 a 79 años,Femenino,9450
2010,1,26,70 a 79 años,Masculino,7371
2010,1,26,80+ años,Femenino,5019
2010,1,26,80+ años,Masculino,2895
2010,1,30,20 a 39 años,Femenino,184423
2010,1,30,20 a 39 años,Masculino,182937
2010,1,30,40 a 49 años,Femenino,71491
2010,1,30,40 a 49 años,Masculino,69152
2010,1,30,50 a 59 años,Femenino,63047
2010,1,30,50 a 59 años,Masculino,59561
2010,1,30,60 a 69 años,Femenino,49040
2010,1,30,60 a 69 años,Masculino,43292
2010,1,30,70 a 79 años,Femenino,34040
